,title,release_date,director,writers,actors,genres,plot_keywords,plot_summary,tag_lines,production_company,primary_language,runtime,color,country,sound_mix,meta_score,user_rating,budget,opening_weekend_date,opening_weekend_revenue,gross_revenue_date,gross_revenue,id,open_week_rev_currency,Date_weekend,Date_GrossRev,Date_released
11773,LOL,1March2012,Lisa Azuelos,Lisa Azuelos;Kamir Aïnouz,Miley Cyrus;Douglas Booth;Ashley Greene, Comedy; Drama; Romance,best friend;high school romance;high school;kiss;girl in panties,"As a new year at school begins, Lola's heart is broken by her boyfriend, though soon she's surprised by her best friend, promising musician Kyle, who reveals his feelings for her.","Rebelde. Divertida. Incomprendida, Popular. Descubre tu mundo. (Rebel. Funny. Misunderstood, Popular. Discover your world.)",Double Feature Films;Lol Productions;Mandate Pictures,English,97 min,Color,USA,Datasat;SDDS;Dolby Digital, ,4.3,11000000.0,,,,,11774,dollar,,,2012-03-01
11774,Killing Them Softly,30November2012,Andrew Dominik,Andrew Dominik;George V. Higgins,Brad Pitt;Ray Liotta;Richard Jenkins, Crime; Thriller,poker game;shot to death;hit by a car;exploding car;punched in the face,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",In America you're on your own,Plan B Entertainment;1984 Private Defense Contractors;Annapurna Pictures,English,97 min,Color,USA,Dolby Digital;Datasat, ,6.2,15000000.0,30November2012,6812900.0,11January2013,14938570.0,11775,dollar,2012-11-30,2013-01-11,2012-11-30
11775,Wanderlust,24February2012,David Wain,David Wain;Ken Marino,Jennifer Aniston;Paul Rudd;Malin Akerman, Comedy,skinny dipping;childbirth;female frontal nudity;nude protest;nudist,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.",Leave your baggage behind.,A Hot Dog;Apatow Productions;Relativity Media,English,98 min,Color,USA,Dolby Digital;Datasat;SDDS,53,5.6,,24February2012,6526650.0,30March2012,17225675.0,11776,dollar,2012-02-24,2012-03-30,2012-02-24
11777,Get the Gringo,15March2012,Adrian Grunberg,Mel Gibson;Stacy Perskie,Mel Gibson;Kevin Hernandez;Daniel Giménez Cacho, Action; Crime; Drama; Thriller,mexican;prison;career criminal;die hard scenario;vacation,A career criminal nabbed by Mexican authorities is placed in a tough prison where he learns to survive with the help of a young boy.,The odds are against him. So is everyone else.,Airborne Productions;Icon Productions,English,96 min,Color,USA,Dolby Digital, ,7.0,20000000.0,,,,,11778,dollar,,,2012-03-15
11779,Red Dawn,21November2012,Dan Bradley,Carl Ellsworth;Jeremy Passmore,Chris Hemsworth;Isabel Lucas;Josh Hutcherson, Action; Thriller,invasion;escape;woods;resistance;captain,A group of teenagers look to save their town from an invasion of North Korean soldiers.,"This Thanksgiving, The Fight Begins At Dawn",FilmDistrict;Contrafilm;Metro-Goldwyn-Mayer (MGM),English,93 min,Color,USA,Dolby Digital;Datasat;SDDS, ,5.4,65000000.0,21November2012,14276668.0,15February2013,44800706.0,11780,dollar,2012-11-21,2013-02-15,2012-11-21
11782,Seeking a Friend for the End of the World,22June2012,Lorene Scafaria, ,Steve Carell;Keira Knightley;Melanie Lynskey, Adventure; Comedy; Drama; Romance; Sci-Fi,end of the world;road trip;letter;candle;record,"As an asteroid nears Earth, a man finds himself alone after his wife leaves in a panic. He decides to take a road trip to reunite with his high school sweetheart. Accompanying him is a neighbor who inadvertently puts a wrench in his plan.",The end is coming soon,Focus Features;Mandate Pictures;Indian Paintbrush,English,101 min, Black and White;Color,USA,Datasat;Dolby Digital,59,6.7,10000000.0,22June2012,3822803.0,29June2012,6619173.0,11783,dollar,2012-06-22,2012-06-29,2012-06-22
11785,Ruby Sparks,6September2012, , ,Paul Dano;Zoe Kazan;Annette Bening, Comedy; Drama; Fantasy; Romance,imaginary character made real;character name in title;dream girl;writer's block;book comes to life,"A novelist struggling with writer's block finds romance in a most unusual way: by creating a female character he thinks will love him, then willing her into existence.",She's out of his mind.,Fox Searchlight Pictures;Bona Fide Productions,English, ,Color,USA,Dolby Digital;Datasat;SDDS, ,7.2,8000000.0,27July2012,140822.0,19October2012,2535819.0,11786,dollar,2012-07-27,2012-10-19,2012-09-06
11787,Act of Valor,24February2012, , ,Alex Veadov;Roselyn Sanchez;Nestor Serrano, Action; Adventure; Drama; Thriller; War,torture;mission;valor;terrorist;navy seal,An elite team of Navy SEALs embark on a covert mission to recover a kidnapped CIA agent.,of their own accord,Relativity Media;Bandito Brothers,English,110 min,Color,USA,Dolby Digital;Datasat,40,6.5,12000000.0,24February2012,24476632.0,1June2012,70011073.0,11788,dollar,2012-02-24,2012-06-01,2012-02-24
11788,A Perfect Ending,21June2012,Nicole Conn, ,Barbara Niven;Bryan Mordechai Jackson;Jessica Clark, Drama; Romance,female nudity;orgasm;lesbian sex;female rear nudity;secret,"Rebecca has a very unusual secret, one that not even her best friends know about. The last person on earth she expects to reveal it to is a high priced escort named Paris. What starts as a ...
                    ;See full summary; »",,Soul Kiss Films,English,110 min,Color,USA,Dolby Digital, ,5.9,175000.0,,,,,11789,dollar,,,2012-06-21
11789,Amber Alert,2November2012,Kerry Bellessa,Kerry Bellessa;Joshua Oram,Summer Bellessa;Chris Hill;Jasen Wade, Horror; Mystery; Thriller,friend;group of friends;car;amber alert;escape,"When a group of friends decides to follow a car they've seen posted on an Amber Alert, things start to go very wrong.",Time is running out.,Bluefields Entertainment;Underground,English,80 min,Color,USA, , ,4.5,,,,,,11790,dollar,,,2012-11-02
11790,Here Comes the Boom,12October2012,Frank Coraci,Allan Loeb;Kevin James,Kevin James;Salma Hayek;Henry Winkler, Action; Comedy; Sport,underdog;high school;mixed martial arts;claim in title;ultimate fighting championship,A high school biology teacher looks to become a successful mixed-martial arts fighter in an effort to raise money to prevent extra-curricular activities from being axed at his cash-strapped school.,One teacher still believes in fighting for his students.,Columbia Pictures;Hey Eddie;Broken Road Productions,English,105 min,Color,USA,Dolby Digital;Datasat;SDDS,40,6.5,42000000.0,12October2012,11816596.0,15February2013,45290318.0,11791,dollar,2012-10-12,2013-02-15,2012-10-12
11791,Trouble with the Curve,21September2012,Robert Lorenz, ,Clint Eastwood;Amy Adams;John Goodman, Drama; Sport,baseball;baseball scout;north carolina;pitcher;aging,"A daughter tries to remedy her dysfunctional relationship with her ailing father, a decorated baseball scout by helping him in a recruiting trip which could be his last.",Whatever Life Throws at You,Warner Bros.;Malpaso Productions,English,111 min,Color,USA,Dolby Digital;Datasat;SDDS,58,6.8,60000000.0,21September2012,12162040.0,7December2012,35754555.0,11792,dollar,2012-09-21,2012-12-07,2012-09-21
11793,Stand Up Guys,1February2013,Fisher Stevens, ,Al Pacino;Christopher Walken;Alan Arkin, Comedy; Crime; Thriller,night;pharmacy;waitress;viagra;altruism,A pair of aging stickup men try to get the old gang back together for one last hurrah before one of the guys takes his last assignment - to kill his comrade.,They don't make 'em like they used to.,Lionsgate;Sidney Kimmel Entertainment;Lakeshore Entertainment,English, ,Color,USA,Datasat;Dolby Digital,41,6.5,15000000.0,1February2013,1486390.0,1March2013,3301046.0,11794,dollar,2013-02-01,2013-03-01,2013-02-01
11795,Piranha 3DD,11May2012,John Gulager,Patrick Melton;Marcus Dunstan,Danielle Panabaker;Ving Rhames;David Hasselhoff, Comedy; Horror,shaved vagina;female full frontal nudity;female frontal nudity;female nudity;female in swimsuit,"After the events at Lake Victoria, the pre-historic school of blood-thirsty piranhas make their way into a newly opened waterpark.",There's something fishy down there.,Dimension Films;Mark Canton Productions;Intellectual Properties Worldwide (I),English,83 min,Color,USA,Dolby Digital;Datasat, ,3.8,5000000.0,1June2012,182237.0,15June2012,370904.0,11796,dollar,2012-06-01,2012-06-15,2012-05-11
11796,The Paperboy,17October2012,Lee Daniels,Peter Dexter;Lee Daniels,Matthew McConaughey;Nicole Kidman;John Cusack, Drama; Thriller,male nudity;first love;murder of a police officer;male rear nudity;based on novel,A reporter returns to his Florida home-town to investigate a case involving a death row inmate.,,Millennium Films;Nu Image / Millennium Films;Lee Daniels Entertainment,English,107 min,Color,USA,Dolby Digital,45,5.8,12500000.0,5October2012,102706.0,16November2012,692640.0,11797,dollar,2012-10-05,2012-11-16,2012-10-17
11797,Chernobyl Diaries,25May2012,Bradley Parker,Oren Peli;Carey Van Dyke,Jesse McCartney;Jonathan Sadowski;Olivia Taylor Dudley, Horror; Mystery; Sci-Fi; Thriller,abandoned building;chernobyl disaster;van;tour guide;exploration,"Six tourists hire an extreme tour guide who takes them to the abandoned city Pripyat, the former home to the workers of the Chernobyl nuclear reactor. During their exploration, they soon discover they are not alone.","Ten years ago, the Ukrainian government let tourists visit the area around Chernobyl. They said it was safe... It wasn't.",Alcon Entertainment;FilmNation Entertainment;Oren Peli / Brian Witten Pictures,English,86 min,Color,USA,SDDS;Datasat;Dolby Digital, ,5.0,1000000.0,25May2012,7955307.0,13July2012,18112929.0,11798,dollar,2012-05-25,2012-07-13,2012-05-25
11798,Safety Not Guaranteed,18October2012,Colin Trevorrow, ,Aubrey Plaza;Mark Duplass;Jake Johnson, Comedy; Drama; Romance,intern;magazine;time machine;classified ad;time travel,Three magazine employees head out on an assignment to interview a guy who placed a classified advertisement seeking a companion for time travel.,What would you change if you could go back?,FilmDistrict;Big Beach Films;Duplass Brothers Productions,English, ,Color,USA,Dolby Digital;Datasat, ,7.0,750000.0,8June2012,97762.0,12October2012,4007792.0,11799,dollar,2012-06-08,2012-10-12,2012-10-18
11799,Bullet to the Head,1February2013,Walter Hill,Alessandro Camon;Alexis Nolent,Sylvester Stallone;Jason Momoa;Christian Slater, Action; Thriller,detective;bullet;corruption;bar;lawyer,"After watching their respective partners die, a New Orleans hitman and a Washington D.C. detective form an alliance in order to bring down their common enemy.",Revenge never gets old.,IM Global;Dark Castle Entertainment;Millar Gough Ink,English,92 min,Color; Black and White,USA,Dolby Digital;Datasat;SDDS,48,5.7,55000000.0,1February2013,4548201.0,8March2013,9483821.0,11800,dollar,2013-02-01,2013-03-08,2013-02-01
11800,Hitchcock,14December2012,Sacha Gervasi,John J. McLaughlin;Stephen Rebello,Anthony Hopkins;Helen Mirren;Scarlett Johansson, Biography; Drama,filmmaker;movie making;filmmaking;filmmaker name in title;husband wife team,The relationship between ;Alfred Hitchcock; and his wife ;Alma Reville; during the filming of ;Psycho; (1960) in 1959 is explored.,Good evening.,"Fox Searchlight Pictures;Cold Spring Pictures;Montecito Picture Company, The",English,98 min,Color,USA,Dolby;SDDS;Datasat,55,6.9,,21November2012,287715.0,8March2013,6002708.0,11801,dollar,2012-11-21,2013-03-08,2012-12-14
11801,Madagascar 3: Europe's Most Wanted,8June2012, ,Eric Darnell;Noah Baumbach,Ben Stiller;Jada Pinkett Smith;Chris Rock, Animation; Adventure; Comedy; Family,island name in title;penguin;circus;animal;lemur,"Alex, Marty, Gloria and Melman are still fighting to get home to their beloved Big Apple. Their journey takes them through Europe where they find the perfect cover: a traveling circus, which they reinvent - Madagascar style.","Six years ago, they disappeared without a trace. Next summer, they finally resurface",DreamWorks Animation;Pacific Data Images (PDI),English, ,Color,USA,Datasat;Dolby Digital,60,6.9,145000000.0,8June2012,60316738.0,12October2012,216366733.0,11802,dollar,2012-06-08,2012-10-12,2012-06-08
11802,Step Up Revolution,27July2012,Scott Speer,Amanda Brody;Duane Adler,Kathryn McCormick;Ryan Guzman;Cleopatra Coleman, Drama; Music; Romance,flash mob;dancer;dance;dancing;3 dimensional,"Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans.",One step can change your world.,Offspring Entertainment;Summit Entertainment,English,99 min,Color,USA,Datasat;Dolby Digital,43,6.5,33000000.0,27July2012,11731708.0,28September2012,35057332.0,11803,dollar,2012-07-27,2012-09-28,2012-07-27
11803,Frances Ha,23August2013,Noah Baumbach,Noah Baumbach;Greta Gerwig,Greta Gerwig;Mickey Sumner;Adam Driver, Comedy; Drama; Romance,female protagonist;best friend;father daughter relationship;mother daughter relationship;black and white,"A story that follows a New York woman (who doesn't really have an apartment), apprentices for a dance company (though she's not really a dancer), and throws herself headlong into her dreams, even as their possibility dwindles.",,RT Features;Pine District Pictures;Scott Rudin Productions,English,86 min, Black and White,USA,Dolby Digital, ,7.4,,17May2013,137398.0,6September2013,4063238.0,11804,dollar,2013-05-17,2013-09-06,2013-08-23
11804,John Dies at the End,25January2013,Don Coscarelli,Don Coscarelli;David Wong,Chase Williamson;Rob Mayes;Paul Giamatti, Comedy; Horror; Sci-Fi,multiple dimensions;cult film;mind altering drug;male friendship;claim in title,"A new street drug that sends its users across time and dimensions has one drawback: some people return as no longer human. Can two college dropouts save humankind from this silent, otherworldly invasion?",Just so you know...they're sorry for anything that's about to happen.,M3 Alliance;M3 Creative;Midnight Alliance,English,99 min,Color; Black and White,USA, ,53,6.4,,25January2013,12467.0,5April2013,141307.0,11805,dollar,2013-01-25,2013-04-05,2013-01-25
11805,After Porn Ends,21May2012,Bryce Wagoner, ,Amber Lynn;Asia Carrera;Bobby Slayton, Documentary,porn industry;female nudity;sexuality;pornography documentary;pornography filmmaking,An exploration of the lives of several former adult performers who have retired from the porn industry.,Can they really live a normal life after porn?,Oxymoron Entertainment;Mallick Media,English,94 min,Color,USA,Dolby Digital, ,5.7,400000.0,,,,,11806,dollar,,,2012-05-21
11806,Alex Cross,19October2012,Rob Cohen,Marc Moss;Kerry Williamson,Tyler Perry;Matthew Fox;Rachel Nichols, Action; Crime; Mystery; Thriller,detective;serial killer;partner;assassin;police,A homicide detective is pushed to the brink of his moral and physical limits as he tangles with a ferociously skilled hired killer who specializes in torture and pain.,Don't Ever Cross Alex Cross,Block / Hanson;James Patterson Entertainment;Emmett/Furla Films,English,101 min,Color,USA,Datasat;Dolby Digital, ,5.1,35000000.0,19October2012,11396768.0,28December2012,25863915.0,11807,dollar,2012-10-19,2012-12-28,2012-10-19
11807,Red Tails,20January2012,Anthony Hemingway,John Ridley;John Ridley,Cuba Gooding Jr.;Gerald McRaney;David Oyelowo, Action; Adventure; Drama; History; War,world war two;tuskegee airmen;italy;battle;african american,"A crew of African American pilots in the Tuskegee training program, having faced segregation while kept mostly on the ground during World War II, are called into duty under the guidance of Col. A.J. Bullard.",High-Octane Action and Daring Dogfights!,Twentieth Century Fox Film Corporation;Lucasfilm;Pakt Media,English, ,Color,USA,Datasat;Dolby Digital;Auro 11.1,46,5.9,58000000.0,20January2012,18782154.0,1June2012,49875589.0,11808,dollar,2012-01-20,2012-06-01,2012-01-20
11808,Excision,2November2012,Richard Bates Jr., ,AnnaLynne McCord;Roger Bart;Ariel Winter, Drama; Horror,body horror;loss of virginity;school;cystic fibrosis;dream,A disturbed and delusional high school student with aspirations of a career in medicine goes to extremes to earn the approval of her controlling mother.,Heal the sickness.,New Normal Films,English,81 min,Color,USA, , ,6.1,,,,,,11809,dollar,,,2012-11-02
11812,Premium Rush,24August2012,David Koepp,David Koepp;John Kamps,Joseph Gordon-Levitt;Michael Shannon;Dania Ramirez, Action; Crime; Thriller,envelope;chase;courier;police;delivery,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.",Ride Like Hell,Columbia Pictures;Pariah,English,91 min,Color,USA,Dolby Digital;Datasat;SDDS, ,6.5,35000000.0,24August2012,6300000.0,19October2012,20275446.0,11813,dollar,2012-08-24,2012-10-19,2012-08-24
11817,Deadfall,9November2012,Stefan Ruzowitzky, ,Eric Bana;Olivia Wilde;Charlie Hunnam, Crime; Drama; Thriller,sex scene;police officer;police officer shot;police officer killed,"A thriller that follows two siblings who decide to fend for themselves in the wake of a botched casino heist, and their unlikely reunion during another family's Thanksgiving celebration.",Don't try to escape from your past,Magnolia Pictures;StudioCanal;2929 Productions,English,95 min,Color,USA,Dolby Digital,52,6.3,12000000.0,7December2012,19391.0,18January2013,65804.0,11818,dollar,2012-12-07,2013-01-18,2012-11-09
11819,The Odd Life of Timothy Green,15August2012,Peter Hedges,Peter Hedges;Ahmet Zappa,Jennifer Garner;Joel Edgerton;CJ Adams, Comedy; Drama; Family; Fantasy,dodgeball;young love;soccer game;soccer;portrait,"A childless couple bury a box in their backyard, containing all of their wishes for an infant. Soon, a child is born, though Timothy Green is not all that he appears.",He's a force of nature.,Monsterfoot Productions;Scott Sanders Productions;Walt Disney Pictures,English,105 min,Color,USA,SDDS;Datasat;Dolby Digital,47,6.6,25000000.0,17August2012,10822903.0,11January2013,51853450.0,11820,dollar,2012-08-17,2013-01-11,2012-08-15
11820,Chasing Mavericks,26October2012, ,Kario Salem;Jim Meenaghan,Jonny Weston;Gerard Butler;Elisabeth Shue, Biography; Drama; Sport,surfing;year 1987;two word title;no opening credits;box office flop,"When young Jay Moriarity discovers that the mythic Mavericks surf break, one of the biggest waves on Earth, exists just miles from his Santa Cruz home, he enlists the help of local legend Frosty Hesson to train him to survive it.",Legends Start Somewhere,Fox 2000 Pictures;Walden Media;Gran Via,English, ,Color,USA,Datasat;Dolby Digital,45,7.2,20000000.0,26October2012,2268274.0,11January2013,6002756.0,11821,dollar,2012-10-26,2013-01-11,2012-10-26
11822,Diary of a Wimpy Kid: Dog Days,3August2012,David Bowers,Maya Forbes;Wallace Wolodarsky,Zachary Gordon;Robert Capron;Devon Bostick, Comedy; Family,summer vacation;camping;best friend;country club;title at the end,"School's out. Summer vacation is on. However, Greg may not have the best summer vacation ever. What could go wrong?",,Fox 2000 Pictures;Color Force;Dune Entertainment,English,94 min,Color,USA,Dolby;Datasat,54,6.4,22000000.0,3August2012,14623599.0,14December2012,49002815.0,11823,dollar,2012-08-03,2012-12-14,2012-08-03
11826,The Three Stooges,13April2012, ,Mike Cerrone;Bobby Farrelly,Sean Hayes;Chris Diamantopoulos;Will Sasso, Comedy,orphanage;nun;the three stooges;tennis court;mule,"While trying to save their childhood orphanage, Moe, Larry and Curly inadvertently stumble into a murder plot and wind up starring in a reality television show.",Just say Moe.,Twentieth Century Fox Film Corporation;Conundrum Entertainment;Wessler Entertainment,English,92 min,Color,USA,Dolby;Datasat,56,5.1,,13April2012,17010125.0,10August2012,44328238.0,11827,dollar,2012-04-13,2012-08-10,2012-04-13
11827,Beasts of the Southern Wild,5July2012,Benh Zeitlin,Lucy Alibar;Benh Zeitlin,Quvenzhané Wallis;Dwight Henry;Levy Easterly, Drama; Fantasy,hospital;auroch;six year old;community;illness,"Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.",¡Sin duda la mejor película del año! [MX],Cinereach;Court 13 Pictures;Journeyman Pictures,English,93 min,Color,USA,Dolby Digital;Datasat;SDDS, ,7.3,1800000.0,29June2012,169702.0,15March2013,12784397.0,11828,dollar,2012-06-29,2013-03-15,2012-07-05
11828,28 Hotel Rooms,9November2012,Matt Ross, ,Marin Ireland;Chris Messina;Robert Deamer, Drama; Romance,hotel room;usa;male pubic hair;bare chested male;female frontal nudity,"A novelist and an accountant meet while they are traveling for work, and though they both are in relationships, their one-night stand could become something more.",,Mott Street Pictures;OneZero Productions;Silverwood Films,English,82 min,Color,USA,Stereo,50,5.8,,9November2012,1869.0,30November2012,16017.0,11829,dollar,2012-11-09,2012-11-30,2012-11-09
11829,Arbitrage,14September2012,Nicholas Jarecki, ,Richard Gere;Susan Sarandon;Brit Marling, Drama; Thriller,manager;dead woman with eyes open;dead woman;accidental death;death of mistress,A troubled hedge fund magnate desperate to complete the sale of his trading empire makes an error that forces him to turn to an unlikely person for help.,Power is the best alibi.,Lionsgate;Green Room Films;Treehouse Pictures,English,107 min,Color,USA,Dolby Digital, ,6.6,12000000.0,14September2012,2002165.0,11January2013,7918283.0,11830,dollar,2012-09-14,2013-01-11,2012-09-14
11830,About Cherry,9August2012,Stephen Elliott,Stephen Elliott;Lorelei Lee,Ashley Grace;James Franco;Heather Graham, Drama,strip club;pornography;car accident;copulation;lingerie,"A drama centered on a troubled young woman who moves to San Francisco, where she gets involved in pornography and aligns herself with a cocaine-addicted lawyer.",There's no such thing as going too far.,Enderby Entertainment;Gordon Bijelonic / Datari Turner Films,English,98 min,Color,USA,Dolby Digital, ,4.8,2500000.0,21September2012,2760.0,21September2012,2760.0,11831,dollar,2012-09-21,2012-09-21,2012-08-09
11831,Fun Size,26October2012,Josh Schwartz, ,Victoria Justice;Johnny Knoxville;Chelsea Handler, Adventure; Comedy,teenage girl;best friend;friend;halloween;adult humor,"Wren's Halloween plans go awry when she's made to babysit her brother, who disappears into a sea of trick-or-treaters. With her best friend and two nerds at her side, she needs to find her brother before her mom finds out he's missing.",Some people just can't handle Halloween.,Paramount Pictures;Nickelodeon Movies;Anonymous Content,English,86 min,Color,USA,Datasat;Dolby Digital, ,5.4,14000000.0,26October2012,4101017.0,7December2012,9402410.0,11832,dollar,2012-10-26,2012-12-07,2012-10-26
11832,One for the Money,27January2012,Julie Anne Robinson,Stacy Sherman;Karen Ray,Katherine Heigl;Jason O'Mara;Daniel Sunjata, Action; Comedy; Crime; Romance; Thriller,bounty hunter;bail bond;jeans;shot in the butt;title directed by female,"Unemployed and newly-divorced Stephanie Plum lands a job at her cousin's bail-bond business, where her first assignment puts her on the trail of a wanted local cop from her romantic past.",She's looking for a few not-so-good men.,Lakeshore Entertainment;Sidney Kimmel Entertainment,English,91 min,Color,USA,Datasat;Dolby Digital;SDDS, ,5.3,40000000.0,27January2012,11515790.0,6April2012,26404753.0,11833,dollar,2012-01-27,2012-04-06,2012-01-27
11833,Parental Guidance,25December2012,Andy Fickman,Lisa Addario;Joe Syracuse,Billy Crystal;Bette Midler;Marisa Tomei, Comedy; Family,helicopter parents;chores;punishment;father figure;in laws,Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.,Here come the grandparents. There go the rules.,Twentieth Century Fox Film Corporation;Walden Media;Chernin Entertainment,English,105 min,Color,USA,Datasat;Dolby Digital;SDDS, ,6.1,25000000.0,28December2012,14554053.0,17May2013,77264926.0,11834,dollar,2012-12-28,2013-05-17,2012-12-25
11834,Promised Land,4January2013,Gus Van Sant,John Krasinski;Matt Damon,Matt Damon;Frances McDormand;John Krasinski, Drama,salesman;corporation;small town;natural gas;corporate greed,"A salesman for a natural gas company experiences life-changing events after arriving in a small town, where his corporation wants to tap into the available resources.",What's your price?,Focus Features;Participant Media;Imagenation Abu Dhabi FZ,English, ,Color,USA,Dolby Digital;Datasat,55,6.6,15000000.0,28December2012,173915.0,18January2013,7556708.0,11835,dollar,2012-12-28,2013-01-18,2013-01-04
11835,Thanks for Sharing,14September2013,Stuart Blumberg,Stuart Blumberg;Matt Winston,Mark Ruffalo;Tim Robbins;Gwyneth Paltrow, Comedy; Drama,addiction;sex addiction;woman wearing black lingerie;bare chested male;shaving someone,A romantic comedy that brings together three disparate characters who are learning to face a challenging and often confusing world as they struggle together against a common demon: sex addiction.,Life is a journey you never have to take alone.,Class 5 Films;Olympus Pictures,English,112 min,Color,USA,Dolby Digital,54,6.4,,20September2013,540281.0,25October2013,1059239.0,11836,dollar,2013-09-20,2013-10-25,2013-09-14
11836,Smiley,12October2012,Michael J. Gallagher,Glasgow Phillips;Michael J. Gallagher,Caitlin Gerard;Melanie Papalia;Shane Dawson, Comedy; Horror,urban legend;internet;college;serial killer;student,"After discovering an urban legend of a demented serial killer, who has nothing but a carved ""smiley"" on his face, a mentally fragile teenager must decide whether she is going insane - or will be the next victim.",The New Face of Fear,Level 10 Films;Andrew E. Freedman Public Relations;Paramount Pictures,English,95 min,Color,USA, , ,3.5,,,,,,11837,dollar,,,2012-10-12
11838,Stolen,6September2012,Simon West, ,Nicolas Cage;Malin Akerman;Josh Lucas, Action; Crime; Drama; Thriller,thief;presumed dead;rescue;money;bank,"A former thief frantically searches for his missing daughter, who has been kidnapped and locked in the trunk of a taxi.",Never steal from the world's greatest thief.,Millennium Films;Nu Image / Millennium Films;Saturn Films,English,96 min,Color,USA,Dolby Digital;DTS,43,5.5,35000000.0,14September2012,183125.0,14September2012,183125.0,11839,dollar,2012-09-14,2012-09-14,2012-09-06
11839,The Tall Man,5September2012,Pascal Laugier, ,Jessica Biel;Jodelle Ferland;William B. Davis, Crime; Drama; Horror; Mystery; Thriller,child;nurse;disappearance;urban legend;female protagonist,"When her child goes missing, a mother looks to unravel the legend of the Tall Man, an entity who allegedly abducts children.",Fear Takes a New Shape,Cold Rock Productions BC;Forecast Pictures;Iron Ocean Films,English,106 min,Color;Color,USA,Dolby Digital,52,5.9,18200000.0,,,,,11840,dollar,,,2012-09-05
11840,Liberal Arts,5October2012,Josh Radnor,Harold Manning;Josh Radnor,Josh Radnor;Elizabeth Olsen;Zac Efron, Comedy; Drama; Romance,professor;ohio;new york city;party;college student,"When 30-something Jesse returns to his alma mater for a professor's retirement party, he falls for Zibby, a college student, and is faced with a powerful attraction that springs up between them.",Sometimes students make the best teachers.,BCDF Pictures;Strategic Motion Ventures;Tom Sawyer Entertainment,English,97 min,Color,USA,Dolby Digital,55,6.7,,14September2012,27435.0,16November2012,317190.0,11841,dollar,2012-09-14,2012-11-16,2012-10-05
11843,The Sessions,16November2012,Ben Lewin,Ben Lewin;Mark O'Brien,John Hawkes;Helen Hunt;William H. Macy, Biography; Comedy; Drama; Romance,priest;therapist;iron lung;sex surrogate;falling in love,A man in an iron lung who wishes to lose his virginity contacts a professional sex surrogate with the help of his therapist and priest.,THE FESTIVAL HIT OF THE YEAR!,Fox Searchlight Pictures;Such Much Films;Rhino Films,English,95 min,Color,USA,Dolby;Dolby Digital, ,7.2,1000000.0,19October2012,113467.0,8March2013,5997134.0,11844,dollar,2012-10-19,2013-03-08,2012-11-16
11844,Paranormal Activity 4,19October2012, ,Christopher Landon;Chad Feehan,Stephen Dunham;Katie Featherston;Matt Shively, Horror,laptop computer;demon;box office hit;walking in the dark;pulled underwater,"It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in.",All the activity has led to this ...,Paramount Pictures;Blumhouse Productions;Solana Films,English,88 min,Color,USA,Dolby Digital;Datasat,40,4.6,5000000.0,19October2012,29003866.0,28December2012,53884821.0,11845,dollar,2012-10-19,2012-12-28,2012-10-19
11845,People Like Us,29June2012,Alex Kurtzman,Alex Kurtzman;Roberto Orci,Chris Pine;Elizabeth Banks;Michelle Pfeiffer, Drama,salesman;child psychologist;alcohol;caught in a lie;record collection,"While settling his recently deceased father's estate, a salesman discovers he has a sister whom he never knew about, leading both siblings to re-examine their perceptions about family and life choices.",Find your family.,DreamWorks SKG;K/O Paper Products;Reliance Entertainment,English, ,Color,USA,SDDS;Datasat;Dolby Digital,49,7.1,16000000.0,29June2012,4255423.0,17August2012,12412386.0,11846,dollar,2012-06-29,2012-08-17,2012-06-29
11847,The Company You Keep,26April2013,Robert Redford,Lem Dobbs;Neil Gordon,Robert Redford;Brit Marling;Stanley Tucci, Drama; Thriller,surveillance;on the run;1970s;hiding;robbery,A former Weather Underground activist goes on the run from a journalist who has discovered his identity.,You can't escape the past,Voltage Pictures;Wildwood Enterprises;Brightlight Pictures,English,125 min,Color,USA,Dolby Digital;Datasat,57,6.4,,5April2013,131718.0,26July2013,5132442.0,11848,dollar,2013-04-05,2013-07-26,2013-04-26
