,title,release_date,director,writers,actors,genres,plot_keywords,plot_summary,tag_lines,production_company,primary_language,runtime,color,country,sound_mix,meta_score,user_rating,budget,opening_weekend_date,opening_weekend_revenue,gross_revenue_date,gross_revenue,id,open_week_rev_currency,Date_weekend,Date_GrossRev,Date_released
24,Zootopia,4March2016, ,Byron Howard;Rich Moore,Ginnifer Goodwin;Jason Bateman;Idris Elba, Animation; Adventure; Comedy; Crime; Family; Mystery,anthropomorphic animal;fox;police;con artist;rabbit,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Welcome to the urban jungle.,Walt Disney Pictures;Walt Disney Animation Studios,English,108 min,Color,USA,Dolby Atmos, ,8.1,150000000.0,4March2016,75063401.0,29July2016,341264012.0,25,dollar,2016-03-04,2016-07-29,2016-03-04
25,Captain America: Civil War,6May2016, ,Christopher Markus;Stephen McFeely,Chris Evans;Robert Downey Jr.;Scarlett Johansson, Action; Adventure; Sci-Fi,superhero;marvel cinematic universe;based on comic book;character name in title;based on comic,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,United we stand. Divided we fall,Marvel Studios;Vita-Ray Dutch Productions (III);Studio Babelsberg,English,147 min,Color,USA,Dolby Atmos;12-Track Digital Sound;Dolby Digital, ,8.0,250000000.0,6May2016,179139142.0,16September2016,408080554.0,26,dollar,2016-05-06,2016-09-16,2016-05-06
26,Boo! A Madea Halloween,21October2016,Tyler Perry, ,Tyler Perry;Cassi Davis;Patrice Lovely, Comedy; Horror,halloween;madea series;ghosts;group of teenagers;directed by star,"Madea winds up in the middle of mayhem when she spends a haunted Halloween fending off killers, paranormal poltergeists, ghosts, ghouls and zombies while keeping a watchful eye on a group of misbehaving teens.",Something freaky is happening to the family living in this house ...and a woman has been sent to help. That woman is MADEA.,"Tyler Perry Company, The",English,103 min,Color,USA, , ,4.8,20000000.0,21October2016,28501448.0,25October2016,32534189.0,27,dollar,2016-10-21,2016-10-25,2016-10-21
27,American Pastoral,28October2016,Ewan McGregor,Philip Roth;John Romano,Ewan McGregor;Jennifer Connelly;Dakota Fanning, Crime; Drama,social criticism;nuclear family;vietnam war;bombing;1960s radical,"In 1968, a hardworking man, who's been a staple in his quaint community for years, watches his seemingly perfect middle class life fall apart as his daughter's new radical political affiliation threatens to destroy their family.",A radically ordinary story.,Lakeshore Entertainment,English,108 min, Black and White;Color,USA, ,44,6.3,,21October2016,149038.0,21October2016,149038.0,28,dollar,2016-10-21,2016-10-21,2016-10-28
30,Sully,9September2016,Clint Eastwood,Todd Komarnicki;Chesley Sullenberger,Tom Hanks;Aaron Eckhart;Laura Linney, Biography; Drama,hudson river;investigation;accident;pilot;aviation,"The story of ;Chesley Sullenberger;, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",The untold story behind the miracle on the Hudson,"FilmNation Entertainment;Flashlight Films;Kennedy/Marshall Company, The",English,96 min,Color,USA,Dolby Atmos;12-Track Digital Sound, ,7.9,60000000.0,9September2016,35028301.0,21October2016,120854369.0,31,dollar,2016-09-09,2016-10-21,2016-09-09
33,Swiss Army Man,1July2016, ,Dan Kwan;Daniel Scheinert,Paul Dano;Daniel Radcliffe;Mary Elizabeth Winstead, Adventure; Comedy; Drama; Fantasy,friend;island;dead body;corpse;talking to a dead body,A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.,We all need some body to lean on,Blackbird;Cold Iron Pictures;Tadmor,English,97 min,Color,USA,Dolby Atmos, ,7.2,3000000.0,24June2016,105453.0,23September2016,4208879.0,34,dollar,2016-06-24,2016-09-23,2016-07-01
34,Storks,23September2016, , ,Andy Samberg;Katie Crown;Kelsey Grammer, Animation; Adventure; Comedy; Family; Fantasy,babies;stork;delivery stork;baby girl;machine,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.",A bundle of trouble is coming.,RatPac-Dune Entertainment;Stoller Global Solutions;Warner Animation Group,English,87 min,Color,USA,Dolby Digital,56,7.1,70000000.0,23September2016,21311407.0,24October2016,64842628.0,35,dollar,2016-09-23,2016-10-24,2016-09-23
35,Alice Through the Looking Glass,27May2016,James Bobin,Linda Woolverton;Lewis Carroll,Mia Wasikowska;Johnny Depp;Helena Bonham Carter, Adventure; Family; Fantasy,mad hatter;queen;dark fantasy;sequel;clock,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,"This spring, it's time for a little madness.",Walt Disney Pictures;Roth Films;Team Todd,English,113 min,Color,USA,Dolby Digital;Datasat;Dolby Atmos, ,6.3,170000000.0,27May2016,28112000.0,26August2016,77037635.0,36,dollar,2016-05-27,2016-08-26,2016-05-27
36,The Shallows,24June2016,Jaume Collet-Serra, ,Blake Lively;Óscar Jaenada;Angelo Josue Lozano Corzo, Drama; Horror; Thriller,trapped;woman in jeopardy;shark attack;shark;cell phone,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",Not just another day at the beach.,Columbia Pictures;Ombra Films;Weimaraner Republic Pictures,English,86 min,Color,USA,Datasat;Dolby Digital,59,6.4,17000000.0,24June2016,16800868.0,23September2016,55121623.0,37,dollar,2016-06-24,2016-09-23,2016-06-24
38,The Nice Guys,20May2016,Shane Black,Shane Black;Anthony Bagarozzi,Russell Crowe;Ryan Gosling;Angourie Rice, Action; Comedy; Crime; Mystery; Thriller,neo noir;porn star;investigation;conspiracy;enemies become allies,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",Nice pair,Misty Mountains;Bloom;Lipsync Productions,English,116 min,Color,USA,Dolby Digital, ,7.4,50000000.0,20May2016,11203270.0,29July2016,36247227.0,39,dollar,2016-05-20,2016-07-29,2016-05-20
40,Batman v Superman: Dawn of Justice,25March2016,Zack Snyder,Chris Terrio;David S. Goyer,Ben Affleck;Henry Cavill;Amy Adams, Action; Adventure; Sci-Fi,based on comic book;superman;batman;superhero;sequel to a reboot,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",Who will win?,Warner Bros.;Atlas Entertainment;Cruel & Unusual Films,English,151 min,Color,USA,Dolby Atmos;Datasat;12-Track Digital Sound;Dolby Surround 7.1;IMAX 6-Track,44,6.8,250000000.0,25March2016,166007347.0,10June2016,330249062.0,41,dollar,2016-03-25,2016-06-10,2016-03-25
41,13 Hours,15January2016,Michael Bay,Chuck Hogan;Mitchell Zuckoff,John Krasinski;Pablo Schreiber;James Badge Dale, Action; Drama; History; Thriller; War,mercenary;libya;cia agent;u.s. ambassador;american abroad,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",When everything went wrong six men had the courage to do what was right,3 Arts Entertainment;Bay Films;Dune Films,English,144 min,Color,USA,Dolby Digital;Datasat;Dolby Atmos;D-Cinema 48kHz 7.1,48,7.3,50000000.0,15January2016,16000000.0,18March2016,52822418.0,42,dollar,2016-01-15,2016-03-18,2016-01-15
45,Mike and Dave Need Wedding Dates,8July2016,Jake Szymanski,Andrew Jay Cohen;Brendan O'Brien,Zac Efron;Adam Devine;Anna Kendrick, Adventure; Comedy; Romance,wedding;brother brother relationship;hawaii;character name in title;reference to goosebumps book series,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",They needed hot dates. They got hot messes.,Twentieth Century Fox Film Corporation;Chernin Entertainment;TSG Entertainment,English,98 min,Color,USA,Dolby Digital;Dolby Surround 7.1,51,6.1,33000000.0,8July2016,16628170.0,7October2016,46007113.0,46,dollar,2016-07-08,2016-10-07,2016-07-08
47,The Birth of a Nation,7October2016,Nate Parker,Nate Parker;Nate Parker,Nate Parker;Armie Hammer;Penelope Ann Miller, Biography; Drama; History,literate;torture;illiterate;true story;rebellion,"Nat Turner, a literate slave and preacher in the antebellum South, orchestrates an uprising.",,Argent Pictures;Bron Studios;Creative Wealth Media Finance,English,120 min,Color,USA, , ,5.8,8500000.0,7October2016,7004254.0,21October2016,14173155.0,48,dollar,2016-10-07,2016-10-21,2016-10-07
